연월,항만,구분,입항_선박수,입항_총톤수,출항_선박수,출항_총톤수
202006,군산,국적선,25,369346,25,369346
202006,군산,외국선,105,2108006,95,1984566
202006,군산,연안선,151,246103,147,263960
202006,기타,국적선,0,0,0,0
202006,기타,외국선,0,0,0,0
202006,기타,연안선,19,63234,36,269292
202006,대산,국적선,74,472869,67,426318
202006,대산,외국선,178,4493587,167,4070208
202006,대산,연안선,274,611128,268,779724
202006,동해.묵호,국적선,9,79662,8,133433
202006,동해.묵호,외국선,63,786586,58,678729
202006,동해.묵호,연안선,258,949430,254,971774
202006,마산,국적선,40,225410,43,248380
202006,마산,외국선,90,2487990,90,2521226
202006,마산,연안선,313,1391237,309,1369063
202006,목포,국적선,9,173965,8,112205
202006,목포,외국선,38,1150628,43,1358600
202006,목포,연안선,521,1349966,516,1054826
202006,보령,국적선,2,151820,3,236718
202006,보령,외국선,18,1294281,18,1215558
202006,보령,연안선,14,10968,16,11378
202006,부산,국적선,492,4301345,511,4251054
202006,부산,외국선,1464,48946965,1454,48596515
202006,부산,연안선,1748,1688826,1745,1713072
202006,삼척,국적선,0,0,0,0
202006,삼척,외국선,0,0,0,0
202006,삼척,연안선,108,429024,107,424692
202006,삼천포,국적선,0,0,0,0
202006,삼천포,외국선,4,110225,5,151169
202006,삼천포,연안선,64,42243,66,47430
202006,서귀포,국적선,0,0,0,0
202006,서귀포,외국선,0,0,0,0
202006,서귀포,연안선,281,67759,282,69134
202006,속초,국적선,0,0,0,0
202006,속초,외국선,13,7846,12,7654
202006,속초,연안선,39,95036,36,88696
202006,여수,국적선,22,180489,22,320999
202006,여수,외국선,263,13072416,253,12151116
202006,여수,연안선,421,224377,420,222905
202006,옥계,국적선,1,1501,1,1501
202006,옥계,외국선,6,127941,6,128456
202006,옥계,연안선,108,295024,106,303015
202006,옥포,국적선,5,104279,5,104279
202006,옥포,외국선,7,94900,10,494186
202006,옥포,연안선,156,185432,156,178342
202006,완도,국적선,0,0,0,0
202006,완도,외국선,1,396,1,396
202006,완도,연안선,65,68832,63,65533
202006,울산,국적선,262,1928810,254,1777514
202006,울산,외국선,630,11671667,640,12091278
202006,울산,연안선,1082,1473111,1082,1365082
202006,인천,국적선,69,825330,73,852826
202006,인천,외국선,565,11607385,563,11558237
202006,인천,연안선,649,1981278,670,1968302
202006,장승포,국적선,0,0,0,0
202006,장승포,외국선,0,0,0,0
202006,장승포,연안선,1,23,1,23
202006,장항,국적선,0,0,0,0
202006,장항,외국선,5,16591,6,17193
202006,장항,연안선,45,34608,47,35874
202006,제주,국적선,3,175342,3,175342
202006,제주,외국선,7,609107,7,609107
202006,제주,연안선,426,3101181,435,3137005
202006,진해,국적선,3,4951,3,4951
202006,진해,외국선,15,255463,12,132931
202006,진해,연안선,116,194403,116,191083
202006,태안,국적선,0,0,0,0
202006,태안,외국선,8,461065,6,346246
202006,태안,연안선,12,8983,12,8983
202006,통영,국적선,19,5192,19,4391
202006,통영,외국선,34,20154,34,20154
202006,통영,연안선,34,5231,33,5035
202006,평택.당진,국적선,50,1136585,51,1170419
202006,평택.당진,외국선,329,8147587,326,8152138
202006,평택.당진,연안선,299,764972,287,730107
202006,포항,국적선,78,468271,78,482159
202006,포항,외국선,133,2781977,143,3274247
202006,포항,연안선,260,589959,257,618588
202006,하동,국적선,0,0,0,0
202006,하동,외국선,5,426530,5,432479
202006,하동,연안선,15,17606,16,19490
202006,호산,국적선,0,0,2,77416
202006,호산,외국선,10,650439,9,604009
202006,호산,연안선,9,8273,9,8273
202007,경인,국적선,0,0,0,0
202007,경인,외국선,5,22510,6,27760
202007,경인,연안선,6,6386,6,7309
202007,고현,국적선,25,219179,24,207832
202007,고현,외국선,3,11770,6,301581
202007,고현,연안선,121,186501,125,182804
202007,광양,국적선,263,2260792,273,2400479
202007,광양,외국선,715,21599658,708,21296523
202007,광양,연안선,1002,2156164,989,2100232
202007,군산,국적선,27,531341,27,531341
202007,군산,외국선,91,2258157,97,2406153
202007,군산,연안선,156,291397,159,294533
202007,기타,국적선,0,0,0,0
202007,기타,외국선,0,0,0,0
202007,기타,연안선,58,54263,8,389158
202007,대산,국적선,76,653621,75,550538
202007,대산,외국선,164,4277586,173,4629787
202007,대산,연안선,288,645562,293,695151
202007,동해.묵호,국적선,9,125599,4,96924
202007,동해.묵호,외국선,80,743724,83,759514
202007,동해.묵호,연안선,292,1108035,300,1127466
202007,마산,국적선,47,435971,48,432951
202007,마산,외국선,102,3025966,103,2964027
202007,마산,연안선,299,886981,297,893998
202007,목포,국적선,12,229803,11,280544
202007,목포,외국선,34,1287412,42,1933846
202007,목포,연안선,531,1108594,539,925098
202007,보령,국적선,3,177239,2,151016
202007,보령,외국선,17,1251048,17,1251757
202007,보령,연안선,17,9659,17,9659
202007,부산,국적선,516,4200547,507,3986970
202007,부산,외국선,1548,52825128,1552,51723294
202007,부산,연안선,1693,1749443,1688,1696860
202007,삼척,국적선,0,0,0,0
202007,삼척,외국선,0,0,0,0
202007,삼척,연안선,101,400652,102,399787
202007,삼천포,국적선,1,48042,1,48042
202007,삼천포,외국선,5,164955,4,124725
202007,삼천포,연안선,80,77110,79,73628
202007,서귀포,국적선,0,0,0,0
202007,서귀포,외국선,0,0,0,0
202007,서귀포,연안선,127,56931,128,56758
202007,속초,국적선,0,0,0,0
202007,속초,외국선,6,4130,7,4322
202007,속초,연안선,22,57971,27,68253
202007,여수,국적선,14,151135,14,160490
202007,여수,외국선,264,11532170,275,12341422
202007,여수,연안선,399,174772,401,179122
202007,옥계,국적선,0,0,0,0
202007,옥계,외국선,5,68884,5,96704
202007,옥계,연안선,122,359761,127,367826
202007,옥포,국적선,2,47886,2,47886
202007,옥포,외국선,4,7138,8,734563
202007,옥포,연안선,162,206589,169,220980
202007,완도,국적선,0,0,0,0
202007,완도,외국선,0,0,0,0
202007,완도,연안선,65,42437,67,44920
202007,울산,국적선,254,1861098,240,1889209
202007,울산,외국선,707,14890870,700,15030126
202007,울산,연안선,1109,1685244,1131,1551816
202007,인천,국적선,77,1229918,86,1281892
202007,인천,외국선,558,12066316,557,11900356
202007,인천,연안선,586,1470961,573,1434551
202007,장승포,국적선,0,0,0,0
202007,장승포,외국선,0,0,0,0
202007,장승포,연안선,1,1761,1,1761
202007,장항,국적선,0,0,0,0
202007,장항,외국선,7,27811,7,33912
202007,장항,연안선,39,43780,39,41136
202007,제주,국적선,2,11544,2,11544
202007,제주,외국선,8,555640,8,555640
202007,제주,연안선,476,3729232,474,3724972
202007,진해,국적선,2,3684,2,3684
202007,진해,외국선,14,61399,17,187254
202007,진해,연안선,127,228172,127,226825
202007,태안,국적선,2,46654,1,2698
202007,태안,외국선,10,551921,11,635505
202007,태안,연안선,12,9538,12,9538
202007,통영,국적선,21,3415,21,5177
202007,통영,외국선,33,16718,33,16718
202007,통영,연안선,40,14722,41,7507
202007,평택.당진,국적선,52,845379,53,869844
202007,평택.당진,외국선,336,8901090,337,8948843
202007,평택.당진,연안선,304,663964,301,649086
202007,포항,국적선,78,561978,78,553582
202007,포항,외국선,150,2865760,147,2684983
202007,포항,연안선,273,651839,290,700411
202007,하동,국적선,0,0,0,0
202007,하동,외국선,6,545127,4,355202
202007,하동,연안선,20,17433,18,14709
202007,호산,국적선,2,133740,2,133740
202007,호산,외국선,10,592943,10,592943
202007,호산,연안선,9,8635,9,8635
202008,경인,국적선,0,0,0,0
202008,경인,외국선,7,38141,7,38141
202008,경인,연안선,9,10713,10,12637
202008,고현,국적선,13,103428,14,114692
202008,고현,외국선,2,3356,6,668652
202008,고현,연안선,96,112687,92,106883
202008,광양,국적선,254,1958816,248,1924795
202008,광양,외국선,684,20416180,691,21062514
202008,광양,연안선,881,2309043,883,2307686
202008,군산,국적선,27,353833,29,348516
202008,군산,외국선,94,1868897,90,1779173
202008,군산,연안선,163,256864,157,251574
202008,기타,국적선,0,0,0,0
202008,기타,외국선,0,0,0,0
202008,기타,연안선,27,317222,15,415485
202008,대산,국적선,78,450049,75,534346
202008,대산,외국선,176,4588911,171,4286379
202008,대산,연안선,286,626052,286,630393
202008,동해.묵호,국적선,10,113767,5,89116
202008,동해.묵호,외국선,69,786074,72,881351
202008,동해.묵호,연안선,244,978989,249,1031827
202008,마산,국적선,31,312085,31,319777
202008,마산,외국선,78,2132076,81,2262251
202008,마산,연안선,287,1195710,272,1063327
202008,목포,국적선,3,62673,6,78335
